"relation_id","child_table","child_columns","parent_table","parent_columns","check_scope","sample_rows","sample_distinct_child_keys","duplicate_child_key_rows","matched_rows","orphan_rows","match_rate","status","error"
"R_PAT_VISIT_PMI","MEDREC.PAT_VISIT","PATIENT_ID","MEDREC.PAT_MASTER_INDEX","PATIENT_ID","full","575841","383804","192037","575838","3","0.999995","pass_with_orphans",""
"R_DIAG_VISIT","MEDREC.DIAGNOSIS","PATIENT_ID+VISIT_ID","MEDREC.PAT_VISIT","PATIENT_ID+VISIT_ID","first_100000_non_null_key_rows","100000","21728","78272","100000","0","1.0","pass",""
"R_ORDERS_VISIT","ORDADM.ORDERS","PATIENT_ID+VISIT_ID","MEDREC.PAT_VISIT","PATIENT_ID+VISIT_ID","first_100000_non_null_key_rows","100000","1583","98417","99953","47","0.99953","pass_with_orphans",""
"R_ORDERS_COSTS_ORDERS","ORDADM.ORDERS_COSTS","PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO","ORDADM.ORDERS","PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO","first_100000_non_null_key_rows","100000","59973","40027","99993","7","0.99993","pass_with_orphans",""
"R_ORDERS_EXEC_ORDERS","ORDADM.ORDERS_EXECUTE_DETAILS","PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO","ORDADM.ORDERS","PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO","first_100000_non_null_key_rows","100000","22009","77991","99976","24","0.99976","pass_with_orphans",""
"R_EXAM_VISIT","EXAM.EXAM_MASTER","PATIENT_ID+VISIT_ID","MEDREC.PAT_VISIT","PATIENT_ID+VISIT_ID","first_100000_non_null_key_rows","100000","52801","47199","47775","52225","0.47775","review",""
"R_EXAM_REPORT_MASTER","EXAM.EXAM_REPORT","EXAM_NO","EXAM.EXAM_MASTER","EXAM_NO","first_100000_non_null_key_rows","100000","100000","0","99999","1","0.99999","pass_with_orphans",""
"R_LAB_VISIT","LAB.LAB_TEST_MASTER","PATIENT_ID+VISIT_ID","MEDREC.PAT_VISIT","PATIENT_ID+VISIT_ID","first_100000_non_null_key_rows","100000","12683","87317","65210","34790","0.6521","review",""
"R_LAB_ITEMS_MASTER","LAB.LAB_TEST_ITEMS","TEST_NO","LAB.LAB_TEST_MASTER","TEST_NO","first_100000_non_null_key_rows","100000","94346","5654","100000","0","1.0","pass",""
"R_LAB_RESULT_MASTER","LAB.LAB_RESULT","TEST_NO","LAB.LAB_TEST_MASTER","TEST_NO","bounded_by_lab_test_master_test_no","1302062","81979","1220083","1302062","0","1.0","pass",""
"R_INP_BILL_VISIT","INPBILL.INP_BILL_DETAIL","PATIENT_ID+VISIT_ID","MEDREC.PAT_VISIT","PATIENT_ID+VISIT_ID","first_100000_non_null_key_rows","100000","278","99722","100000","0","1.0","pass",""
"R_OUTP_BILL_RCPT","OUTPBILL.OUTP_BILL_ITEMS","RCPT_NO","OUTPBILL.OUTP_RCPT_MASTER","RCPT_NO","first_100000_non_null_key_rows","100000","29718","70282","100000","0","1.0","pass",""
"R_PRESC_VISIT","PHARMACY.DRUG_PRESC_MASTER","PATIENT_ID+VISIT_ID","MEDREC.PAT_VISIT","PATIENT_ID+VISIT_ID","first_100000_non_null_key_rows","100000","28802","71198","99968","32","0.99968","pass_with_orphans",""
"R_DOCT_PRESC_VISIT","PHARMACY.DOCT_DRUG_PRESC_MASTER","PATIENT_ID+VISIT_ID","MEDREC.PAT_VISIT","PATIENT_ID+VISIT_ID","first_100000_non_null_key_rows","100000","24183","75817","99986","14","0.99986","pass_with_orphans",""
